island,year,month,avg_temp_celsius,rainfall_mm,hurricane_category
Anguilla,2021,September,28.2,159.5,0
Anguilla,2021,October,28.6,168.2,0
Anguilla,2021,November,27.4,120.2,0
Anguilla,2021,December,26.4,57.7,0
Anguilla,2022,January,25.3,33.6,0
Anguilla,2022,February,26.8,24.8,0
Anguilla,2022,March,25.5,15.8,0
Anguilla,2022,April,26.0,39.7,0
Anguilla,2022,May,28.4,61.5,0
Anguilla,2022,June,28.7,106.0,0
Anguilla,2022,July,27.8,163.2,0
Anguilla,2022,August,29.6,133.2,0
Anguilla,2022,September,28.4,185.0,0
Anguilla,2022,October,27.8,138.3,0
Anguilla,2022,November,26.8,111.9,0
Anguilla,2022,December,26.7,59.1,0
Anguilla,2023,January,25.3,48.9,0
Anguilla,2023,February,25.8,22.3,0
Anguilla,2023,March,26.4,24.7,0
Anguilla,2023,April,27.6,28.7,0
Anguilla,2023,May,27.9,95.0,0
Anguilla,2023,June,27.2,152.5,0
Anguilla,2023,July,28.1,158.4,0
Anguilla,2023,August,29.8,131.8,0
Anguilla,2023,September,29.6,146.4,0
Anguilla,2023,October,27.6,278.3,2
Anguilla,2023,November,26.3,137.2,0
Anguilla,2023,December,25.1,72.9,0
Anguilla,2024,January,25.9,45.8,0
Anguilla,2024,February,25.5,29.1,0
Anguilla,2024,March,25.5,22.1,0
Anguilla,2024,April,25.8,27.6,0
Anguilla,2024,May,28.3,82.0,0
Anguilla,2024,June,28.2,104.7,0
Anguilla,2024,July,28.1,108.3,0
Anguilla,2024,August,29.6,156.6,0
Anguilla,2024,September,29.5,338.2,2
Anguilla,2024,October,27.3,127.4,0
Anguilla,2024,November,27.1,95.7,0
Anguilla,2024,December,26.4,47.6,0
Anguilla,2025,January,24.7,40.5,0
Anguilla,2025,February,26.9,25.7,0
Anguilla,2025,March,26.2,21.4,0
Anguilla,2025,April,26.4,26.5,0
Anguilla,2025,May,27.3,89.3,0
Anguilla,2025,June,28.7,145.3,0
Anguilla,2025,July,27.6,143.2,0
Anguilla,2025,August,28.1,182.3,0
Anguilla,2025,September,29.1,181.2,0
Anguilla,2025,October,26.9,176.4,0
Anguilla,2025,November,26.5,84.9,0
Anguilla,2025,December,25.1,73.0,0
Antigua and Barbuda,2015,January,26.9,51.1,0
Antigua and Barbuda,2015,February,26.7,29.6,0
Antigua and Barbuda,2015,March,27.2,35.5,0
Antigua and Barbuda,2015,April,26.4,42.0,0
Antigua and Barbuda,2015,May,28.4,107.8,0
Antigua and Barbuda,2015,June,29.5,139.7,0
Antigua and Barbuda,2015,July,29.9,151.4,0
Antigua and Barbuda,2015,August,29.7,134.2,0
Antigua and Barbuda,2015,September,29.6,184.1,0
Antigua and Barbuda,2015,October,27.2,178.3,0
Antigua and Barbuda,2015,November,27.4,115.6,0
Antigua and Barbuda,2015,December,26.1,54.0,0
Antigua and Barbuda,2016,January,25.6,62.5,0
Antigua and Barbuda,2016,February,27.2,42.8,0
Antigua and Barbuda,2016,March,26.9,27.9,0
Antigua and Barbuda,2016,April,27.6,55.2,0
Antigua and Barbuda,2016,May,28.1,102.7,0
Antigua and Barbuda,2016,June,27.4,159.5,0
Antigua and Barbuda,2016,July,28.6,155.0,0
Antigua and Barbuda,2016,August,29.6,208.2,0
Antigua and Barbuda,2016,September,29.5,186.7,0
Antigua and Barbuda,2016,October,28.0,177.3,0
Antigua and Barbuda,2016,November,26.4,134.1,0
Antigua and Barbuda,2016,December,26.2,72.2,0
Antigua and Barbuda,2017,January,25.4,48.7,0
Antigua and Barbuda,2017,February,25.8,42.3,0
Antigua and Barbuda,2017,March,25.8,35.3,0
Antigua and Barbuda,2017,April,28.1,43.8,0
Antigua and Barbuda,2017,May,28.3,105.5,0
Antigua and Barbuda,2017,June,28.1,109.5,0
Antigua and Barbuda,2017,July,29.8,176.3,0
Antigua and Barbuda,2017,August,30.2,181.7,0
Antigua and Barbuda,2017,September,28.9,145.9,0
Antigua and Barbuda,2017,October,27.4,349.0,2
Antigua and Barbuda,2017,November,26.9,138.2,0
Antigua and Barbuda,2017,December,26.6,55.5,0
Antigua and Barbuda,2018,January,26.9,55.5,0
Antigua and Barbuda,2018,February,26.8,40.7,0
Antigua and Barbuda,2018,March,27.6,32.1,0
Antigua and Barbuda,2018,April,27.6,41.5,0
Antigua and Barbuda,2018,May,28.5,96.3,0
Antigua and Barbuda,2018,June,29.5,135.3,0
Antigua and Barbuda,2018,July,27.9,121.8,0
Antigua and Barbuda,2018,August,28.4,154.9,0
Antigua and Barbuda,2018,September,28.5,219.7,0
Antigua and Barbuda,2018,October,29.0,144.4,0
Antigua and Barbuda,2018,November,27.3,97.5,0
Antigua and Barbuda,2018,December,26.5,70.1,0
Antigua and Barbuda,2019,January,26.8,41.4,0
Antigua and Barbuda,2019,February,26.7,36.8,0
Antigua and Barbuda,2019,March,26.7,34.9,0
Antigua and Barbuda,2019,April,26.2,48.2,0
Antigua and Barbuda,2019,May,28.2,102.0,0
Antigua and Barbuda,2019,June,28.7,139.9,0
Antigua and Barbuda,2019,July,28.4,184.2,0
Antigua and Barbuda,2019,August,29.9,185.7,0
Antigua and Barbuda,2019,September,27.9,140.4,0
Antigua and Barbuda,2019,October,28.2,140.6,0
Antigua and Barbuda,2019,November,26.8,133.1,0
Antigua and Barbuda,2019,December,27.2,86.6,0
Antigua and Barbuda,2020,January,25.6,51.5,0
Antigua and Barbuda,2020,February,26.1,30.9,0
Antigua and Barbuda,2020,March,25.7,26.9,0
Antigua and Barbuda,2020,April,27.4,39.3,0
Antigua and Barbuda,2020,May,27.1,82.2,0
Antigua and Barbuda,2020,June,28.0,158.4,0
Antigua and Barbuda,2020,July,28.9,149.9,0
Antigua and Barbuda,2020,August,28.1,207.8,0
Antigua and Barbuda,2020,September,30.0,154.4,0
Antigua and Barbuda,2020,October,27.2,164.6,0
Antigua and Barbuda,2020,November,27.5,118.2,0
Antigua and Barbuda,2020,December,27.1,67.6,0
Antigua and Barbuda,2021,January,26.4,56.6,0
Antigua and Barbuda,2021,February,26.0,36.2,0
Antigua and Barbuda,2021,March,26.7,23.6,0
Antigua and Barbuda,2021,April,27.8,40.0,0
Antigua and Barbuda,2021,May,28.3,72.8,0
Antigua and Barbuda,2021,June,28.2,160.6,0
Antigua and Barbuda,2021,July,29.9,169.1,0
Antigua and Barbuda,2021,August,29.2,250.0,1
Antigua and Barbuda,2021,September,28.5,177.6,0
Antigua and Barbuda,2021,October,28.4,166.3,0
Antigua and Barbuda,2021,November,27.4,99.8,0
Antigua and Barbuda,2021,December,26.9,63.0,0
Antigua and Barbuda,2022,January,26.6,50.8,0
Antigua and Barbuda,2022,February,25.8,40.5,0
Antigua and Barbuda,2022,March,27.0,37.2,0
Antigua and Barbuda,2022,April,27.9,50.1,0
Antigua and Barbuda,2022,May,26.8,88.9,0
Antigua and Barbuda,2022,June,29.0,159.3,0
Antigua and Barbuda,2022,July,29.4,156.3,0
Antigua and Barbuda,2022,August,29.5,180.2,0
Antigua and Barbuda,2022,September,28.1,516.3,4
Antigua and Barbuda,2022,October,27.3,125.3,0
Antigua and Barbuda,2022,November,26.4,131.4,0
Antigua and Barbuda,2022,December,27.0,84.7,0
Antigua and Barbuda,2023,January,26.4,39.1,0
Antigua and Barbuda,2023,February,25.6,31.9,0
Antigua and Barbuda,2023,March,26.6,27.2,0
Antigua and Barbuda,2023,April,28.1,41.5,0
Antigua and Barbuda,2023,May,28.5,99.9,0
Antigua and Barbuda,2023,June,28.8,147.7,0
Antigua and Barbuda,2023,July,28.3,154.4,0
Antigua and Barbuda,2023,August,30.3,152.8,0
Antigua and Barbuda,2023,September,28.2,198.4,0
Antigua and Barbuda,2023,October,27.9,200.8,0
Antigua and Barbuda,2023,November,26.7,97.3,0
Antigua and Barbuda,2023,December,26.1,86.8,0
Antigua and Barbuda,2024,January,26.8,57.6,0
Antigua and Barbuda,2024,February,25.8,38.8,0
Antigua and Barbuda,2024,March,26.5,26.4,0
Antigua and Barbuda,2024,April,26.6,45.9,0
Antigua and Barbuda,2024,May,28.3,73.7,0
Antigua and Barbuda,2024,June,28.6,122.0,0
Antigua and Barbuda,2024,July,29.0,160.3,0
Antigua and Barbuda,2024,August,29.0,188.5,0
Antigua and Barbuda,2024,September,29.5,135.5,0
Antigua and Barbuda,2024,October,29.2,157.3,0
Antigua and Barbuda,2024,November,28.0,118.7,0
Antigua and Barbuda,2024,December,27.4,63.7,0
Antigua and Barbuda,2025,January,26.8,39.7,0
Antigua and Barbuda,2025,February,26.3,38.9,0
Antigua and Barbuda,2025,March,27.5,25.1,0
Antigua and Barbuda,2025,April,26.5,54.4,0
Antigua and Barbuda,2025,May,27.7,89.8,0
Antigua and Barbuda,2025,June,29.4,169.8,0
Antigua and Barbuda,2025,July,27.8,155.1,0
Antigua and Barbuda,2025,August,30.3,151.7,0
Antigua and Barbuda,2025,September,29.0,179.4,0
Antigua and Barbuda,2025,October,29.0,162.4,0
Antigua and Barbuda,2025,November,26.4,99.8,0
Antigua and Barbuda,2025,December,25.9,59.0,0
Aruba,2015,January,26.8,62.0,0
Aruba,2015,February,25.8,53.0,0
Aruba,2015,March,27.6,40.3,0
Aruba,2015,April,27.9,46.3,0
Aruba,2015,May,27.8,87.4,0
Aruba,2015,June,28.1,169.0,0
Aruba,2015,July,28.7,417.8,3
Aruba,2015,August,29.9,140.6,0
Aruba,2015,September,28.8,181.0,0
Aruba,2015,October,29.4,192.8,0
Aruba,2015,November,26.7,157.1,0
Aruba,2015,December,26.9,68.8,0
Aruba,2016,January,25.5,67.4,0
Aruba,2016,February,26.3,46.1,0
Aruba,2016,March,27.0,43.3,0
Aruba,2016,April,26.9,62.0,0
Aruba,2016,May,27.3,97.3,0
Aruba,2016,June,27.7,154.8,0
Aruba,2016,July,29.3,160.4,0
Aruba,2016,August,28.7,164.5,0
Aruba,2016,September,28.3,162.0,0
Aruba,2016,October,27.6,175.9,0
Aruba,2016,November,27.4,130.9,0
Aruba,2016,December,25.8,78.5,0
Aruba,2017,January,26.7,56.9,0
Aruba,2017,February,27.0,46.8,0
Aruba,2017,March,26.6,31.3,0
Aruba,2017,April,28.5,43.1,0
Aruba,2017,May,27.1,95.4,0
Aruba,2017,June,29.3,185.9,0
Aruba,2017,July,29.0,199.4,0
Aruba,2017,August,30.4,216.6,0
Aruba,2017,September,29.6,205.4,0
Aruba,2017,October,28.9,161.7,0
Aruba,2017,November,27.6,131.9,0
Aruba,2017,December,26.1,60.1,0
Aruba,2018,January,25.8,65.2,0
Aruba,2018,February,26.6,52.3,0
Aruba,2018,March,26.6,35.5,0
Aruba,2018,April,28.0,44.4,0
Aruba,2018,May,28.0,113.3,0
Aruba,2018,June,27.6,128.0,0
Aruba,2018,July,28.1,167.8,0
Aruba,2018,August,28.4,201.7,0
Aruba,2018,September,28.6,163.1,0
Aruba,2018,October,27.5,175.3,0
Aruba,2018,November,28.2,145.1,0
Aruba,2018,December,26.9,86.9,0
Aruba,2019,January,25.8,49.3,0
Aruba,2019,February,25.9,40.5,0
Aruba,2019,March,27.9,47.6,0
Aruba,2019,April,27.8,53.0,0
Aruba,2019,May,29.3,122.1,0
Aruba,2019,June,29.4,136.4,0
Aruba,2019,July,28.4,150.1,0
Aruba,2019,August,29.4,211.4,0
Aruba,2019,September,29.7,219.1,0
Aruba,2019,October,28.6,215.9,0
Aruba,2019,November,26.7,113.3,0
Aruba,2019,December,27.0,96.9,0
Aruba,2020,January,25.4,66.7,0
Aruba,2020,February,26.0,48.9,0
Aruba,2020,March,27.7,33.8,0
Aruba,2020,April,28.0,56.6,0
Aruba,2020,May,29.0,91.7,0
Aruba,2020,June,27.6,182.8,0
Aruba,2020,July,28.3,200.0,0
Aruba,2020,August,28.9,189.4,0
Aruba,2020,September,30.2,194.9,0
Aruba,2020,October,28.2,177.9,0
Aruba,2020,November,27.0,130.8,0
Aruba,2020,December,25.8,99.2,0
Aruba,2021,January,26.9,72.4,0
Aruba,2021,February,26.3,46.4,0
Aruba,2021,March,26.1,35.2,0
Aruba,2021,April,27.7,52.7,0
Aruba,2021,May,27.8,94.0,0
Aruba,2021,June,28.7,161.6,0
Aruba,2021,July,28.6,185.7,0
Aruba,2021,August,29.8,179.2,0
Aruba,2021,September,29.9,158.6,0
Aruba,2021,October,28.5,211.5,0
Aruba,2021,November,27.8,101.3,0
Aruba,2021,December,27.4,97.8,0
Aruba,2022,January,26.8,57.4,0
Aruba,2022,February,25.9,49.7,0
Aruba,2022,March,26.9,37.5,0
Aruba,2022,April,27.9,58.2,0
Aruba,2022,May,28.2,75.3,0
Aruba,2022,June,27.6,152.2,0
Aruba,2022,July,30.3,121.4,0
Aruba,2022,August,29.9,207.6,0
Aruba,2022,September,28.3,151.7,0
Aruba,2022,October,27.8,177.3,0
Aruba,2022,November,27.0,123.3,0
Aruba,2022,December,26.5,82.6,0
Aruba,2023,January,25.6,65.5,0
Aruba,2023,February,26.8,53.1,0
Aruba,2023,March,26.0,37.6,0
Aruba,2023,April,26.5,41.5,0
Aruba,2023,May,28.2,96.7,0
Aruba,2023,June,28.9,176.8,0
Aruba,2023,July,29.3,123.4,0
Aruba,2023,August,30.4,214.9,0
Aruba,2023,September,28.1,149.6,0
Aruba,2023,October,29.4,500.6,4
Aruba,2023,November,27.1,160.0,0
Aruba,2023,December,27.2,88.5,0
Aruba,2024,January,25.3,49.9,0
Aruba,2024,February,27.2,42.5,0
Aruba,2024,March,26.5,45.1,0
Aruba,2024,April,28.6,61.2,0
Aruba,2024,May,29.3,77.7,0
Aruba,2024,June,29.5,138.0,0
Aruba,2024,July,30.3,151.7,0
Aruba,2024,August,28.4,159.6,0
Aruba,2024,September,29.2,176.3,0
Aruba,2024,October,28.3,190.7,0
Aruba,2024,November,26.6,137.7,0
Aruba,2024,December,27.2,63.3,0
Aruba,2025,January,26.6,64.0,0
Aruba,2025,February,26.1,36.1,0
Aruba,2025,March,26.5,37.2,0
Aruba,2025,April,26.7,46.4,0
Aruba,2025,May,28.3,95.4,0
Aruba,2025,June,28.4,119.5,0
Aruba,2025,July,28.8,150.8,0
Aruba,2025,August,29.2,142.6,0
Aruba,2025,September,30.1,235.4,0
Aruba,2025,October,27.8,164.6,0
Aruba,2025,November,27.1,129.6,0
Aruba,2025,December,26.6,76.8,0
Bahamas,2015,January,25.6,61.3,0
Bahamas,2015,February,27.1,57.6,0
Bahamas,2015,March,26.3,45.1,0
Bahamas,2015,April,27.4,68.9,0
Bahamas,2015,May,28.1,100.9,0
Bahamas,2015,June,29.8,197.9,0
Bahamas,2015,July,29.1,208.0,0
Bahamas,2015,August,29.4,234.1,0
Bahamas,2015,September,29.0,219.5,0
Bahamas,2015,October,29.0,161.2,0
Bahamas,2015,November,28.5,132.5,0
Bahamas,2015,December,27.1,94.2,0
Bahamas,2016,January,26.9,71.8,0
Bahamas,2016,February,26.7,60.7,0
Bahamas,2016,March,26.8,54.8,0
Bahamas,2016,April,28.5,62.0,0
Bahamas,2016,May,28.8,95.8,0
Bahamas,2016,June,29.5,183.1,0
Bahamas,2016,July,30.7,168.2,0
Bahamas,2016,August,29.8,229.9,0
Bahamas,2016,September,29.6,229.1,0
Bahamas,2016,October,29.7,188.4,0
Bahamas,2016,November,26.9,158.8,0
Bahamas,2016,December,26.7,96.6,0
Bahamas,2017,January,27.5,76.2,0
Bahamas,2017,February,27.3,67.8,0
Bahamas,2017,March,26.1,44.0,0
Bahamas,2017,April,27.8,67.6,0
Bahamas,2017,May,28.4,104.0,0
Bahamas,2017,June,29.2,160.0,0
Bahamas,2017,July,28.4,136.4,0
Bahamas,2017,August,30.9,153.5,0
Bahamas,2017,September,28.6,181.2,0
Bahamas,2017,October,28.1,183.4,0
Bahamas,2017,November,27.7,153.8,0
Bahamas,2017,December,26.6,104.0,0
Bahamas,2018,January,27.2,75.2,0
Bahamas,2018,February,26.1,68.3,0
Bahamas,2018,March,26.5,41.5,0
Bahamas,2018,April,28.8,56.3,0
Bahamas,2018,May,27.8,117.7,0
Bahamas,2018,June,27.9,169.1,0
Bahamas,2018,July,29.7,160.6,0
Bahamas,2018,August,29.1,214.0,0
Bahamas,2018,September,28.5,160.2,0
Bahamas,2018,October,28.1,168.9,0
Bahamas,2018,November,27.3,165.4,0
Bahamas,2018,December,27.3,94.4,0
Bahamas,2019,January,26.7,64.7,0
Bahamas,2019,February,27.1,63.6,0
Bahamas,2019,March,26.8,52.9,0
Bahamas,2019,April,27.0,52.6,0
Bahamas,2019,May,27.8,120.6,0
Bahamas,2019,June,28.8,131.0,0
Bahamas,2019,July,28.8,181.5,0
Bahamas,2019,August,30.1,237.5,0
Bahamas,2019,September,29.5,164.0,0
Bahamas,2019,October,28.7,143.7,0
Bahamas,2019,November,26.7,114.6,0
Bahamas,2019,December,28.0,90.2,0
Bahamas,2020,January,26.9,67.0,0
Bahamas,2020,February,26.8,43.5,0
Bahamas,2020,March,27.8,44.8,0
Bahamas,2020,April,27.9,54.2,0
Bahamas,2020,May,29.1,124.6,0
Bahamas,2020,June,28.1,129.1,0
Bahamas,2020,July,30.3,158.7,0
Bahamas,2020,August,28.7,210.8,0
Bahamas,2020,September,30.7,160.2,0
Bahamas,2020,October,29.4,166.3,0
Bahamas,2020,November,27.7,129.4,0
Bahamas,2020,December,26.9,112.2,0
Bahamas,2021,January,25.9,80.9,0
Bahamas,2021,February,26.5,60.8,0
Bahamas,2021,March,26.5,41.0,0
Bahamas,2021,April,27.1,50.7,0
Bahamas,2021,May,28.0,112.1,0
Bahamas,2021,June,29.5,143.2,0
Bahamas,2021,July,30.3,211.3,0
Bahamas,2021,August,28.8,234.0,0
Bahamas,2021,September,30.5,249.2,0
Bahamas,2021,October,27.9,218.9,0
Bahamas,2021,November,28.3,163.0,0
Bahamas,2021,December,27.4,89.5,0
Bahamas,2022,January,26.0,67.0,0
Bahamas,2022,February,27.1,65.5,0
Bahamas,2022,March,27.2,44.5,0
Bahamas,2022,April,27.5,79.6,0
Bahamas,2022,May,27.4,125.1,0
Bahamas,2022,June,29.5,156.7,0
Bahamas,2022,July,29.2,132.9,0
Bahamas,2022,August,29.1,183.3,0
Bahamas,2022,September,28.9,232.8,0
Bahamas,2022,October,29.0,191.1,0
Bahamas,2022,November,27.4,152.8,0
Bahamas,2022,December,26.1,102.8,0
Bahamas,2023,January,25.7,82.5,0
Bahamas,2023,February,25.7,67.6,0
Bahamas,2023,March,27.6,40.8,0
Bahamas,2023,April,27.0,79.1,0
Bahamas,2023,May,28.9,96.3,0
Bahamas,2023,June,29.9,133.2,0
Bahamas,2023,July,29.0,186.9,0
Bahamas,2023,August,30.2,369.3,2
Bahamas,2023,September,28.6,172.6,0
Bahamas,2023,October,27.7,203.1,0
Bahamas,2023,November,28.9,134.6,0
Bahamas,2023,December,26.1,84.7,0
Bahamas,2024,January,25.7,63.5,0
Bahamas,2024,February,26.0,62.5,0
Bahamas,2024,March,26.4,62.3,0
Bahamas,2024,April,27.9,49.0,0
Bahamas,2024,May,28.4,122.2,0
Bahamas,2024,June,28.2,152.9,0
Bahamas,2024,July,30.4,134.9,0
Bahamas,2024,August,30.4,198.5,0
Bahamas,2024,September,30.6,181.4,0
Bahamas,2024,October,28.3,146.5,0
Bahamas,2024,November,28.0,147.5,0
Bahamas,2024,December,27.4,105.7,0
Bahamas,2025,January,26.1,70.6,0
Bahamas,2025,February,27.3,49.4,0
Bahamas,2025,March,28.1,61.4,0
Bahamas,2025,April,26.9,65.0,0
Bahamas,2025,May,28.6,136.3,0
Bahamas,2025,June,30.0,130.6,0
Bahamas,2025,July,29.7,158.6,0
Bahamas,2025,August,30.4,233.2,0
Bahamas,2025,September,28.4,156.8,0
Bahamas,2025,October,27.7,144.3,0
Bahamas,2025,November,27.8,149.0,0
Bahamas,2025,December,26.8,99.1,0
Barbados,2015,January,26.9,84.6,0
Barbados,2015,February,26.7,65.4,0
Barbados,2015,March,28.2,61.1,0
Barbados,2015,April,28.4,87.5,0
Barbados,2015,May,27.8,131.9,0
Barbados,2015,June,30.1,132.4,0
Barbados,2015,July,29.6,175.8,0
Barbados,2015,August,29.6,224.2,0
Barbados,2015,September,28.9,231.8,0
Barbados,2015,October,28.3,239.2,0
Barbados,2015,November,28.7,166.6,0
Barbados,2015,December,26.5,114.1,0
Barbados,2016,January,27.6,90.9,0
Barbados,2016,February,27.8,57.6,0
Barbados,2016,March,28.0,62.3,0
Barbados,2016,April,28.0,69.8,0
Barbados,2016,May,28.9,112.1,0
Barbados,2016,June,28.4,176.3,0
Barbados,2016,July,29.1,500.8,4
Barbados,2016,August,29.5,197.2,0
Barbados,2016,September,29.0,255.3,0
Barbados,2016,October,29.2,235.4,0
Barbados,2016,November,27.9,136.6,0
Barbados,2016,December,27.8,88.6,0
Barbados,2017,January,26.5,80.1,0
Barbados,2017,February,26.4,74.9,0
Barbados,2017,March,28.5,47.1,0
Barbados,2017,April,27.6,87.9,0
Barbados,2017,May,28.9,90.5,0
Barbados,2017,June,29.4,153.3,0
Barbados,2017,July,29.7,188.2,0
Barbados,2017,August,30.8,169.5,0
Barbados,2017,September,30.4,343.2,2
Barbados,2017,October,28.5,180.0,0
Barbados,2017,November,28.9,423.8,3
Barbados,2017,December,28.1,111.4,0
Barbados,2018,January,26.9,69.5,0
Barbados,2018,February,26.1,81.2,0
Barbados,2018,March,26.6,72.6,0
Barbados,2018,April,28.1,82.5,0
Barbados,2018,May,29.9,95.1,0
Barbados,2018,June,28.4,197.2,0
Barbados,2018,July,30.0,174.2,0
Barbados,2018,August,29.5,176.1,0
Barbados,2018,September,30.5,231.1,0
Barbados,2018,October,28.7,252.8,1
Barbados,2018,November,28.7,156.3,0
Barbados,2018,December,26.6,98.3,0
Barbados,2019,January,26.9,98.6,0
Barbados,2019,February,26.7,57.4,0
Barbados,2019,March,26.8,65.6,0
Barbados,2019,April,28.5,57.8,0
Barbados,2019,May,28.4,95.5,0
Barbados,2019,June,29.0,171.1,0
Barbados,2019,July,29.2,384.2,2
Barbados,2019,August,30.0,224.8,0
Barbados,2019,September,29.7,241.9,0
Barbados,2019,October,28.0,227.2,0
Barbados,2019,November,27.3,174.3,0
Barbados,2019,December,27.6,107.2,0
Barbados,2020,January,26.3,92.5,0
Barbados,2020,February,26.2,78.1,0
Barbados,2020,March,26.7,72.2,0
Barbados,2020,April,27.7,57.9,0
Barbados,2020,May,28.0,124.4,0
Barbados,2020,June,29.1,130.0,0
Barbados,2020,July,29.0,154.3,0
Barbados,2020,August,29.6,398.3,2
Barbados,2020,September,29.2,188.5,0
Barbados,2020,October,29.2,152.2,0
Barbados,2020,November,27.3,127.5,0
Barbados,2020,December,27.4,106.5,0
Barbados,2021,January,27.4,99.6,0
Barbados,2021,February,26.8,66.5,0
Barbados,2021,March,28.4,60.1,0
Barbados,2021,April,27.4,68.2,0
Barbados,2021,May,29.7,136.7,0
Barbados,2021,June,30.4,172.5,0
Barbados,2021,July,31.0,222.7,0
Barbados,2021,August,30.5,176.7,0
Barbados,2021,September,30.8,163.4,0
Barbados,2021,October,28.4,228.8,0
Barbados,2021,November,27.8,175.4,0
Barbados,2021,December,26.6,104.6,0
Barbados,2022,January,27.2,96.6,0
Barbados,2022,February,27.5,79.5,0
Barbados,2022,March,27.6,50.6,0
Barbados,2022,April,29.0,74.7,0
Barbados,2022,May,28.8,95.4,0
Barbados,2022,June,28.6,492.2,4
Barbados,2022,July,29.1,146.7,0
Barbados,2022,August,31.1,234.4,0
Barbados,2022,September,28.7,219.1,0
Barbados,2022,October,29.7,228.8,0
Barbados,2022,November,29.1,140.5,0
Barbados,2022,December,27.1,80.0,0
Barbados,2023,January,26.0,66.3,0
Barbados,2023,February,27.7,80.0,0
Barbados,2023,March,26.8,74.1,0
Barbados,2023,April,29.1,85.8,0
Barbados,2023,May,29.0,100.5,0
Barbados,2023,June,29.7,138.3,0
Barbados,2023,July,30.9,220.4,0
Barbados,2023,August,31.3,406.5,2
Barbados,2023,September,30.8,259.1,0
Barbados,2023,October,29.2,237.6,0
Barbados,2023,November,28.6,130.3,0
Barbados,2023,December,26.6,119.3,0
Barbados,2024,January,27.2,85.6,0
Barbados,2024,February,27.0,57.4,0
Barbados,2024,March,26.6,52.7,0
Barbados,2024,April,27.0,70.7,0
Barbados,2024,May,29.9,143.1,0
Barbados,2024,June,29.0,173.9,0
Barbados,2024,July,29.8,212.8,0
Barbados,2024,August,30.6,406.3,3
