country,year,visitor_count,revenue_usd,hotel_occupancy_pct
Dominica,2015,300822,247477234.74,66.7
Dominica,2016,290810,255086899.6,60.6
Dominica,2017,350479,297374421.92,68.2
Dominica,2018,345988,301262131.24,64.5
Dominica,2019,301322,262047690.52,64.1
Dominica,2020,82398,74208462.78,20
Dominica,2021,185369,150126645.72,35.7
Dominica,2022,283597,229030101.23,49.6
Dominica,2023,364897,334304035.52,67.8
Dominica,2024,417832,359941376.4,63.8
Dominica,2025,394486,298969104.82,63.6
Dominican Republic,2015,4915865,7491778260.0,82.0
Dominican Republic,2016,5106725,7571485821.25,76.3
Dominican Republic,2017,5265892,8532588102.2,83.8
Dominican Republic,2018,5017956,6901897400.64,80.2
Dominican Republic,2019,5778672,8382310456.32,84.1
Dominican Republic,2020,1524142,2365224521.28,20
Dominican Republic,2021,3010682,4086488999.06,42.2
Dominican Republic,2022,4811118,7721459500.56,59.6
Dominican Republic,2023,6072688,9345441743.84,76.1
Dominican Republic,2024,6649243,9962627279.33,76.7
Dominican Republic,2025,6743450,9114851627.0,83.2
Grenada,2015,425924,335904962.6,65.4
Grenada,2016,379951,355026214.4,66.4
Grenada,2017,378230,307523683.8,69.9
Grenada,2018,431444,391578574.4,68.0
Grenada,2019,500458,436569531.72,71.0
Grenada,2020,125803,110114107.87,20
Grenada,2021,259897,237179403.23,36.7
Grenada,2022,424111,380728685.81,52.7
Grenada,2023,467334,379816361.82,67.7
Grenada,2024,540408,464561737.2,67.5
Grenada,2025,491869,385462979.23,63.9
Guadeloupe,2015,708908,618430071.96,67.7
Guadeloupe,2016,705454,604122587.44,69.3
Guadeloupe,2017,834384,689309653.92,66.3
Guadeloupe,2018,825860,734817193.6,64.1
Guadeloupe,2019,823900,806004892.0,68.2
Guadeloupe,2020,225743,218873640.51,20
Guadeloupe,2021,472776,385581922.32,36.1
Guadeloupe,2022,770165,746266780.05,57.7
Guadeloupe,2023,911925,866146365.0,67.8
Guadeloupe,2024,976103,834001925.26,64.2
Guadeloupe,2025,959985,786947703.75,65.5
Haiti,2015,521497,445019464.95,62.9
Haiti,2016,510969,411437348.49,67.8
Haiti,2017,469830,400088434.8,67.2
Haiti,2018,483144,432336576.96,62.6
Haiti,2019,554852,439304071.0,65.2
Haiti,2020,133802,112376285.74,20
Haiti,2021,315086,287941341.1,38.5
Haiti,2022,455223,362926536.75,49.1
Haiti,2023,625865,598940287.7,64.9
Haiti,2024,657881,604546587.33,68.1
Haiti,2025,689660,653956301.8,63.3
Jamaica,2015,2875896,3358327554.0,70.3
Jamaica,2016,3483643,4427919271.58,71.4
Jamaica,2017,3609917,4772274174.83,70.8
Jamaica,2018,3633681,4786393623.63,70.1
Jamaica,2019,3918941,5375376233.24,70.1
Jamaica,2020,828008,1000068062.4,20
Jamaica,2021,2341186,2877458065.16,42.5
Jamaica,2022,2825860,3681643442.4,61.0
Jamaica,2023,3644958,4823700967.62,78.9
Jamaica,2024,4226967,4902774483.96,80.5
Jamaica,2025,4511592,5489028406.8,73.9
Martinique,2015,726702,658450148.16,65.5
Martinique,2016,837311,806615178.74,63.0
Martinique,2017,882918,820707597.72,70.8
Martinique,2018,858173,766623104.36,69.8
Martinique,2019,933839,806257915.82,70.6
Martinique,2020,217600,196277376.0,20
Martinique,2021,513738,443396993.04,39.1
Martinique,2022,783626,650558468.94,57.1
Martinique,2023,872830,784333766.3,68.4
Martinique,2024,924836,758078820.84,71.0
Martinique,2025,900550,768070089.5,70.5
Montserrat,2015,96168,84235474.56,67.4
Montserrat,2016,97469,71566613.25,70.0
Montserrat,2017,95457,81122222.31,65.2
Montserrat,2018,115753,97814757.59,66.8
Montserrat,2019,111753,96296442.57,61.0
Montserrat,2020,26829,22676407.38,20
Montserrat,2021,66170,53574540.5,36.1
Montserrat,2022,95069,81192728.76,50.8
Montserrat,2023,130036,101000261.56,62.7
Montserrat,2024,115437,88188096.15,61.3
Montserrat,2025,131118,112326168.24,62.0
Puerto Rico,2015,3261763,4194366276.96,78.2
Puerto Rico,2016,4017360,5207944809.6,72.9
Puerto Rico,2017,3354308,4062335332.64,72.2
Puerto Rico,2018,3521496,4101310316.4,75.9
Puerto Rico,2019,3707672,5236604702.64,76.1
Puerto Rico,2020,1053926,1257944995.08,20
Puerto Rico,2021,2266527,3141769066.32,42.0
Puerto Rico,2022,3363116,4286762178.24,57.4
Puerto Rico,2023,3872713,5436475782.27,75.2
Puerto Rico,2024,4788632,6054650528.16,70.3
Puerto Rico,2025,4691354,5511543419.82,71.3
Saba,2015,50754,39351606.36,70.3
Saba,2016,46784,39751429.12,66.3
Saba,2017,56698,43245265.54,65.4
Saba,2018,53852,42960971.52,68.9
Saba,2019,62586,48541075.74,66.4
Saba,2020,14753,12477349.75,20
Saba,2021,30174,22943102.64,36.8
Saba,2022,44416,33505209.6,48.6
Saba,2023,54599,43625146.99,66.1
Saba,2024,60318,46062443.88,67.3
Saba,2025,68166,54504170.28,67.1
Saint Barthelemy,2015,330521,294319034.87,67.2
Saint Barthelemy,2016,320953,293681623.59,65.1
Saint Barthelemy,2017,321401,278609670.86,70.2
Saint Barthelemy,2018,352634,271468232.22,62.4
Saint Barthelemy,2019,320485,283283101.2,66.6
Saint Barthelemy,2020,81874,63758558.76,20
Saint Barthelemy,2021,204033,187006446.15,36.2
Saint Barthelemy,2022,289967,223666045.45,48.8
Saint Barthelemy,2023,365931,297165246.48,63.3
Saint Barthelemy,2024,343630,316067437.7,69.4
Saint Barthelemy,2025,397038,364445150.58,71.2
Saint Kitts and Nevis,2015,364471,295170484.06,61.2
Saint Kitts and Nevis,2016,382672,322971341.28,67.7
Saint Kitts and Nevis,2017,408047,324364721.24,67.0
Saint Kitts and Nevis,2018,393840,333818784.0,61.7
Saint Kitts and Nevis,2019,377696,309975107.2,67.8
Saint Kitts and Nevis,2020,109264,89607406.4,20
Saint Kitts and Nevis,2021,215604,199345302.36,38.1
Saint Kitts and Nevis,2022,342873,288469341.09,51.3
Saint Kitts and Nevis,2023,415592,386018473.28,65.0
Saint Kitts and Nevis,2024,446057,415671597.16,67.7
Saint Kitts and Nevis,2025,459651,383473039.77,62.8
Saint Lucia,2015,725120,689893670.4,68.6
Saint Lucia,2016,820702,698696440.68,67.8
Saint Lucia,2017,876599,783504186.2,69.4
Saint Lucia,2018,743223,736266432.72,68.4
Saint Lucia,2019,787442,663947471.14,67.8
Saint Lucia,2020,218329,181512180.73,20
Saint Lucia,2021,534988,480429923.76,34.7
Saint Lucia,2022,783872,709176837.12,55.7
Saint Lucia,2023,931980,805221400.2,70.8
Saint Lucia,2024,1062283,912097429.46,67.8
Saint Lucia,2025,947759,930092772.24,67.3
Saint Martin,2015,654622,620817319.92,64.4
Saint Martin,2016,661013,574393856.48,71.4
Saint Martin,2017,637181,599377051.27,64.5
Saint Martin,2018,622381,559750799.97,72.1
Saint Martin,2019,670329,550923295.23,67.2
Saint Martin,2020,166088,148346479.84,20
Saint Martin,2021,385226,328401312.74,34.9
Saint Martin,2022,608329,545482531.01,51.2
Saint Martin,2023,793201,637194227.32,69.4
Saint Martin,2024,799532,750808519.92,65.6
Saint Martin,2025,810642,762579035.82,71.9
Saint Vincent and the Grenadines,2015,299663,228951521.89,65.9
Saint Vincent and the Grenadines,2016,315687,285463126.62,69.8
Saint Vincent and the Grenadines,2017,313444,265289598.28,65.5
Saint Vincent and the Grenadines,2018,344457,284810825.88,67.5
Saint Vincent and the Grenadines,2019,308127,257859161.22,70.8
Saint Vincent and the Grenadines,2020,82908,72498900.6,20
Saint Vincent and the Grenadines,2021,211137,190304112.21,38.3
Saint Vincent and the Grenadines,2022,282037,228768671.81,54.6
Saint Vincent and the Grenadines,2023,395159,357504298.89,61.0
Saint Vincent and the Grenadines,2024,341536,295117842.24,70.3
Saint Vincent and the Grenadines,2025,436559,385726070.04,65.2
Sint Eustatius,2015,45181,37436524.79,69.0
Sint Eustatius,2016,50803,42588662.93,69.4
Sint Eustatius,2017,47225,40367930.0,63.0
Sint Eustatius,2018,52862,39635398.98,65.5
Sint Eustatius,2019,56886,48592590.06,61.7
Sint Eustatius,2020,12922,11201435.7,20
Sint Eustatius,2021,30431,26585434.53,33.8
Sint Eustatius,2022,47948,36790020.92,50.1
Sint Eustatius,2023,54699,46831642.83,69.3
Sint Eustatius,2024,66206,49773670.8,64.5
Sint Eustatius,2025,62590,51394526.7,66.6
Sint Maarten,2015,736375,633113133.75,71.0
Sint Maarten,2016,716734,633686031.42,67.1
Sint Maarten,2017,744858,683794541.16,68.0
Sint Maarten,2018,914166,793441238.04,72.4
Sint Maarten,2019,871899,753477677.82,68.0
Sint Maarten,2020,225240,213818079.6,20
Sint Maarten,2021,499180,451463383.8,39.4
Sint Maarten,2022,688746,660569401.14,54.7
Sint Maarten,2023,897038,834003139.74,68.5
Sint Maarten,2024,993136,938503588.64,69.0
Sint Maarten,2025,1054170,978491135.7,71.6
Suriname,2015,414048,340881577.92,65.6
Suriname,2016,419868,376109357.04,61.9
Suriname,2017,403150,362177865.5,62.8
Suriname,2018,397509,342950889.75,71.2
Suriname,2019,451317,418276082.43,69.7
Suriname,2020,108292,98717904.28,20
Suriname,2021,278695,250326635.95,35.5
Suriname,2022,351438,328682389.5,49.9
Suriname,2023,551532,506118855.12,68.6
Suriname,2024,566514,530257104.0,69.4
Suriname,2025,503248,455821908.48,61.0
Trinidad and Tobago,2015,1008777,939675775.5,69.9
Trinidad and Tobago,2016,1072602,1025300251.8,71.5
Trinidad and Tobago,2017,1172010,1015394303.7,65.1
Trinidad and Tobago,2018,965746,977566731.04,68.7
Trinidad and Tobago,2019,1231620,1093210544.4,63.2
Trinidad and Tobago,2020,309846,315100988.16,20
Trinidad and Tobago,2021,634716,553650072.48,40.1
Trinidad and Tobago,2022,922549,865913716.89,50.9
Trinidad and Tobago,2023,1355248,1181098632.0,67.5
Trinidad and Tobago,2024,1321964,1303073134.44,72.8
Trinidad and Tobago,2025,1274767,1256346616.85,64.2
Turks and Caicos Islands,2015,587743,477899710.73,66.7
Turks and Caicos Islands,2016,604371,582510900.93,61.8
Turks and Caicos Islands,2017,616237,538584975.63,71.6
Turks and Caicos Islands,2018,709791,577180747.47,68.8
Turks and Caicos Islands,2019,679171,657763530.08,65.3
Turks and Caicos Islands,2020,168282,139532703.12,20
Turks and Caicos Islands,2021,421925,369602080.75,37.7
Turks and Caicos Islands,2022,600552,541205451.36,49.3
Turks and Caicos Islands,2023,795210,666910818.6,62.8
Turks and Caicos Islands,2024,773810,625029551.3,69.6
Turks and Caicos Islands,2025,725179,604639746.62,70.8
US Virgin Islands,2015,958854,837789093.96,72.4
US Virgin Islands,2016,907100,913794398.0,64.1
US Virgin Islands,2017,965870,862637814.4,64.5
US Virgin Islands,2018,1132132,963274512.2,62.7
US Virgin Islands,2019,1197947,1067047331.31,66.1
US Virgin Islands,2020,265022,226819078.7,20
US Virgin Islands,2021,653063,644044199.97,37.3
US Virgin Islands,2022,1032588,973203864.12,51.0
US Virgin Islands,2023,1241142,1270606711.08,63.0
US Virgin Islands,2024,1356327,1368520379.73,68.2
US Virgin Islands,2025,1286909,1321964401.16,63.2
