island,year,crop,yield_tonnes,price_usd_per_tonne
Dominica,2021,banana,9877.5,543.69
Dominica,2022,banana,8853.6,554.6
Dominica,2023,banana,9945.1,546.9
Dominica,2024,banana,8598.4,523.65
Dominica,2025,banana,11208.1,485.59
Saint Vincent and the Grenadines,2015,banana,10039.8,469.58
Saint Vincent and the Grenadines,2016,banana,10761.2,407.57
Saint Vincent and the Grenadines,2017,banana,6690.6,486.52
Saint Vincent and the Grenadines,2018,banana,7976.9,423.23
Saint Vincent and the Grenadines,2019,banana,9228.0,521.92
Saint Vincent and the Grenadines,2020,banana,9093.9,458.22
Saint Vincent and the Grenadines,2021,banana,10586.5,538.31
Saint Vincent and the Grenadines,2022,banana,9663.9,548.39
Saint Vincent and the Grenadines,2023,banana,11108.3,549.46
Saint Vincent and the Grenadines,2024,banana,11536.4,552.94
Saint Vincent and the Grenadines,2025,banana,11285.8,512.77
Jamaica,2015,banana,6785.4,454.94
Jamaica,2016,banana,7095.9,463.41
Jamaica,2017,banana,7443.2,498.1
Jamaica,2018,banana,7464.9,452.84
Jamaica,2019,banana,7926.0,471.94
Jamaica,2020,banana,6669.2,438.72
Jamaica,2021,banana,7935.9,475.13
Jamaica,2022,banana,7388.2,493.48
Jamaica,2023,banana,8141.5,525.76
Jamaica,2024,banana,8456.2,497.33
Jamaica,2025,banana,7136.7,504.73
Martinique,2015,banana,6530.4,435.55
Martinique,2016,banana,8291.1,445.27
Martinique,2017,banana,5872.3,482.04
Martinique,2018,banana,5385.2,466.72
Martinique,2019,banana,8275.3,499.77
Martinique,2020,banana,7271.0,509.78
Martinique,2021,banana,8338.8,555.36
Martinique,2022,banana,5794.5,484.41
Martinique,2023,banana,5526.7,508.43
Martinique,2024,banana,7867.6,538.11
Martinique,2025,banana,6862.7,556.27
Guadeloupe,2015,banana,5486.4,415.16
Guadeloupe,2016,banana,6841.9,506.47
Guadeloupe,2017,banana,5709.6,497.64
Guadeloupe,2018,banana,5423.1,450.42
Guadeloupe,2019,banana,4626.3,508.94
Guadeloupe,2020,banana,6027.6,455.9
Guadeloupe,2021,banana,6434.7,531.89
Guadeloupe,2022,banana,5461.6,481.32
Guadeloupe,2023,banana,6206.3,505.5
Guadeloupe,2024,banana,6840.7,494.54
Guadeloupe,2025,banana,6088.3,485.85
Grenada,2015,banana,5616.9,427.5
Grenada,2016,banana,5418.7,442.99
Grenada,2017,banana,5406.3,509.14
Grenada,2018,banana,3718.3,445.98
Grenada,2019,banana,4930.3,507.37
Grenada,2020,banana,4773.9,543.88
Grenada,2021,banana,3542.4,489.15
Grenada,2022,banana,4489.9,487.22
Grenada,2023,banana,5401.7,522.65
Grenada,2024,banana,6163.3,560.41
Grenada,2025,banana,4791.1,540.13
Suriname,2015,banana,3242.2,431.81
Suriname,2016,banana,4112.9,495.55
Suriname,2017,banana,2951.5,416.06
Suriname,2018,banana,3463.4,517.41
Suriname,2019,banana,3429.3,452.05
Suriname,2020,banana,3876.0,534.03
Suriname,2021,banana,3135.0,529.27
Suriname,2022,banana,3302.7,468.85
Suriname,2023,banana,2825.6,534.51
Suriname,2024,banana,3935.7,567.62
Suriname,2025,banana,3913.9,500.94
Dominican Republic,2015,banana,2431.6,417.38
Dominican Republic,2016,banana,1989.7,439.5
Dominican Republic,2017,banana,2214.3,507.85
Dominican Republic,2018,banana,2803.7,524.87
Dominican Republic,2019,banana,2485.3,516.14
Dominican Republic,2020,banana,2170.9,490.45
Dominican Republic,2021,banana,2372.6,510.36
Dominican Republic,2022,banana,3034.0,452.75
Dominican Republic,2023,banana,2272.5,584.3
Dominican Republic,2024,banana,1836.0,566.51
Dominican Republic,2025,banana,1942.1,552.6
Haiti,2015,banana,1275.0,436.75
Haiti,2016,banana,1184.1,432.99
Haiti,2017,banana,1158.1,425.28
Haiti,2018,banana,1263.6,420.11
Haiti,2019,banana,1174.7,470.59
Haiti,2020,banana,1245.8,442.48
Haiti,2021,banana,1016.9,458.42
Haiti,2022,banana,1300.2,486.76
Haiti,2023,banana,1182.9,509.1
Haiti,2024,banana,1314.0,542.03
Haiti,2025,banana,1363.7,497.31
Grenada,2015,nutmeg,2827.4,8204.61
Grenada,2016,nutmeg,2199.5,8064.61
Grenada,2017,nutmeg,2217.5,7505.75
Grenada,2018,nutmeg,3006.1,9207.13
Grenada,2019,nutmeg,2264.6,8447.67
Grenada,2020,nutmeg,2934.7,9075.57
Grenada,2021,nutmeg,2720.8,8943.6
Grenada,2022,nutmeg,2398.0,9756.35
Grenada,2023,nutmeg,2155.4,8425.9
Grenada,2024,nutmeg,2306.6,8347.91
Grenada,2025,nutmeg,1979.4,10729.56
Trinidad and Tobago,2015,nutmeg,2027.8,7789.93
Trinidad and Tobago,2016,nutmeg,2301.9,8887.03
Trinidad and Tobago,2017,nutmeg,1625.4,8231.4
Trinidad and Tobago,2018,nutmeg,2134.9,7665.81
Trinidad and Tobago,2019,nutmeg,1811.3,9464.24
Trinidad and Tobago,2020,nutmeg,2241.9,8819.17
Trinidad and Tobago,2021,nutmeg,1992.0,8928.57
Trinidad and Tobago,2022,nutmeg,2582.1,9254.33
Trinidad and Tobago,2023,nutmeg,2765.1,10357.79
Trinidad and Tobago,2024,nutmeg,2543.7,10489.27
Trinidad and Tobago,2025,nutmeg,1893.7,9725.64
Saint Vincent and the Grenadines,2015,nutmeg,2342.2,8538.07
Saint Vincent and the Grenadines,2016,nutmeg,1697.7,8870.57
Saint Vincent and the Grenadines,2017,nutmeg,2382.4,8377.12
Saint Vincent and the Grenadines,2018,nutmeg,1772.4,8775.38
Saint Vincent and the Grenadines,2019,nutmeg,1915.6,7815.69
Saint Vincent and the Grenadines,2020,nutmeg,1958.4,7782.13
Saint Vincent and the Grenadines,2021,nutmeg,2290.7,10020.56
Saint Vincent and the Grenadines,2022,nutmeg,1919.2,8658.93
Saint Vincent and the Grenadines,2023,nutmeg,2300.1,9758.07
Saint Vincent and the Grenadines,2024,nutmeg,1930.7,10136.28
Saint Vincent and the Grenadines,2025,nutmeg,2043.7,9767.7
Dominica,2015,nutmeg,1941.0,8239.01
Dominica,2016,nutmeg,2037.1,8467.02
Dominica,2017,nutmeg,1986.3,8838.16
Dominica,2018,nutmeg,1956.2,9011.36
Dominica,2019,nutmeg,1823.8,8686.06
Dominica,2020,nutmeg,1569.0,8967.44
Dominica,2021,nutmeg,1889.4,8200.76
Dominica,2022,nutmeg,1752.7,9716.01
Dominica,2023,nutmeg,2117.3,9931.01
Dominica,2024,nutmeg,2273.4,10324.81
Dominica,2025,nutmeg,1630.8,10307.51
Saint Lucia,2015,nutmeg,1329.4,8530.44
Saint Lucia,2016,nutmeg,1414.6,9062.09
Saint Lucia,2017,nutmeg,1209.9,7367.45
Saint Lucia,2018,nutmeg,1399.8,8765.42
Saint Lucia,2019,nutmeg,1431.3,9452.04
Saint Lucia,2020,nutmeg,1482.3,8200.0
Saint Lucia,2021,nutmeg,1703.0,8375.33
Saint Lucia,2022,nutmeg,1537.8,9475.77
Saint Lucia,2023,nutmeg,1857.5,10167.59
Saint Lucia,2024,nutmeg,1615.7,9578.55
Saint Lucia,2025,nutmeg,1328.7,9103.95
Jamaica,2015,nutmeg,909.9,7822.35
Jamaica,2016,nutmeg,1405.5,8947.76
Jamaica,2017,nutmeg,1228.7,7381.38
Jamaica,2018,nutmeg,1458.4,8289.16
Jamaica,2019,nutmeg,1384.0,7907.22
Jamaica,2020,nutmeg,1223.1,8906.9
Jamaica,2021,nutmeg,1257.1,9240.31
Jamaica,2022,nutmeg,1412.3,9255.25
Jamaica,2023,nutmeg,1332.8,10016.34
Jamaica,2024,nutmeg,1582.8,10136.07
Jamaica,2025,nutmeg,1164.5,10576.5
Jamaica,2015,coffee,1279.3,3412.9
Jamaica,2016,coffee,1281.1,3332.63
Jamaica,2017,coffee,1734.0,3145.81
Jamaica,2018,coffee,1835.9,3662.71
Jamaica,2019,coffee,1336.7,3042.09
Jamaica,2020,coffee,1606.4,3604.81
Jamaica,2021,coffee,1730.4,4012.74
Jamaica,2022,coffee,1401.4,3549.23
Jamaica,2023,coffee,1233.2,3438.8
Jamaica,2024,coffee,1731.7,4069.01
Jamaica,2025,coffee,1366.0,3724.98
Cuba,2015,coffee,1073.7,2877.52
Cuba,2016,coffee,1249.5,3450.23
Cuba,2017,coffee,1043.1,3070.16
Cuba,2018,coffee,1308.3,3459.13
Cuba,2019,coffee,1278.8,3160.43
Cuba,2020,coffee,1394.5,3333.98
Cuba,2021,coffee,1081.8,3534.71
Cuba,2022,coffee,1161.9,3835.64
Cuba,2023,coffee,1257.7,3625.78
Cuba,2024,coffee,1666.8,3863.28
Cuba,2025,coffee,1333.0,3464.05
Haiti,2015,coffee,1378.1,3450.37
Haiti,2016,coffee,1471.2,3641.57
Haiti,2017,coffee,1298.2,2981.99
Haiti,2018,coffee,1186.3,3747.41
Haiti,2019,coffee,1212.4,3846.08
Haiti,2020,coffee,1035.4,3172.95
Haiti,2021,coffee,1109.6,3461.75
Haiti,2022,coffee,1355.3,4012.06
Haiti,2023,coffee,1172.3,4092.55
Haiti,2024,coffee,1151.7,4225.6
Haiti,2025,coffee,1521.5,3451.63
Dominican Republic,2015,coffee,835.5,2984.09
Dominican Republic,2016,coffee,1037.7,3639.66
Dominican Republic,2017,coffee,933.3,3364.83
Dominican Republic,2018,coffee,1202.9,3139.95
Dominican Republic,2019,coffee,1093.9,3493.48
Dominican Republic,2020,coffee,980.1,3710.91
Dominican Republic,2021,coffee,924.2,3195.02
Dominican Republic,2022,coffee,1180.2,3247.89
Dominican Republic,2023,coffee,1204.5,3520.25
Dominican Republic,2024,coffee,874.1,3940.98
Dominican Republic,2025,coffee,1225.2,3871.5
Puerto Rico,2015,coffee,1090.7,3385.02
Puerto Rico,2016,coffee,865.7,3589.23
Puerto Rico,2017,coffee,763.9,3439.07
Puerto Rico,2018,coffee,1101.4,3464.45
Puerto Rico,2019,coffee,931.3,3201.68
Puerto Rico,2020,coffee,990.8,3242.58
Puerto Rico,2021,coffee,967.2,3576.52
Puerto Rico,2022,coffee,1025.3,3414.99
Puerto Rico,2023,coffee,953.0,4045.84
Puerto Rico,2024,coffee,1018.8,4091.44
Puerto Rico,2025,coffee,842.2,3672.68
Trinidad and Tobago,2015,coffee,540.3,3392.21
Trinidad and Tobago,2016,coffee,777.0,3487.73
Trinidad and Tobago,2017,coffee,786.9,3271.04
Trinidad and Tobago,2018,coffee,867.8,3354.21
Trinidad and Tobago,2019,coffee,787.8,3819.46
Trinidad and Tobago,2020,coffee,652.3,3756.45
Trinidad and Tobago,2021,coffee,680.5,3467.95
Trinidad and Tobago,2022,coffee,607.5,3284.09
Trinidad and Tobago,2023,coffee,823.6,3827.08
Trinidad and Tobago,2024,coffee,671.2,4222.01
Trinidad and Tobago,2025,coffee,869.6,3392.87
Guadeloupe,2015,coffee,582.3,3535.66
Guadeloupe,2016,coffee,609.2,2990.09
Guadeloupe,2017,coffee,491.3,3677.09
Guadeloupe,2018,coffee,488.3,3251.48
Guadeloupe,2019,coffee,562.4,3534.11
Guadeloupe,2020,coffee,491.2,3750.27
Guadeloupe,2021,coffee,537.7,3677.72
Guadeloupe,2022,coffee,560.9,3224.39
Guadeloupe,2023,coffee,568.4,3300.22
Guadeloupe,2024,coffee,523.3,3871.31
Guadeloupe,2025,coffee,710.0,3878.97
Martinique,2015,coffee,523.1,3347.0
Martinique,2016,coffee,415.1,2974.15
Martinique,2017,coffee,489.8,3516.04
Martinique,2018,coffee,454.1,3511.89
Martinique,2019,coffee,400.2,3493.9
Martinique,2020,coffee,468.3,3868.83
Martinique,2021,coffee,484.7,3460.94
Martinique,2022,coffee,426.9,3561.9
Martinique,2023,coffee,413.6,3951.74
Martinique,2024,coffee,449.7,3880.75
Martinique,2025,coffee,449.5,4267.18
