country,year,gdp_millions_usd,unemployment_pct,tourism_pct_gdp,agriculture_pct_gdp
Barbados,2017,5858.79,15.3,29.8,12.8
Barbados,2018,5903.54,16.7,28.3,11.5
Barbados,2019,5777.21,17.0,28.4,12.2
Barbados,2020,4724.49,22.5,7.9,23.7
Barbados,2021,5499.7,20.9,15.7,21.1
Barbados,2022,5505.61,19.1,22.1,15.1
Barbados,2023,6034.0,14.7,28.0,12.0
Barbados,2024,6164.72,17.0,29.8,11.6
Barbados,2025,6393.49,16.3,28.0,12.4
Bermuda,2015,7799.89,17.7,25.2,14.0
Bermuda,2016,7802.89,17.7,25.5,14.3
Bermuda,2017,7941.55,18.2,26.1,14.1
Bermuda,2018,8213.09,19.2,26.2,14.0
Bermuda,2019,8376.65,16.6,25.8,12.7
Bermuda,2020,6621.9,25.3,6.2,28.2
Bermuda,2021,8336.45,22.4,15.4,26.3
Bermuda,2022,8869.99,18.2,21.1,17.1
Bermuda,2023,9665.22,19.1,27.9,14.0
Bermuda,2024,10085.33,18.1,26.6,12.9
Bermuda,2025,9567.03,16.6,26.6,13.9
Bonaire,2015,453.49,20.8,21.0,14.6
Bonaire,2016,457.98,19.2,22.5,15.1
Bonaire,2017,470.28,20.4,21.3,15.5
Bonaire,2018,480.65,18.3,23.1,15.1
Bonaire,2019,519.44,18.0,21.8,15.2
Bonaire,2020,442.93,24.8,5.2,27.0
Bonaire,2021,445.22,25.5,12.0,26.5
Bonaire,2022,500.24,21.1,18.7,17.6
Bonaire,2023,567.02,20.9,21.1,13.7
Bonaire,2024,611.88,17.7,23.0,14.3
Bonaire,2025,633.34,19.4,20.9,15.4
British Virgin Islands,2015,1105.96,19.2,24.8,15.1
British Virgin Islands,2016,1134.08,19.1,22.6,13.5
British Virgin Islands,2017,1200.67,18.3,23.2,13.5
British Virgin Islands,2018,1195.31,17.1,24.4,14.8
British Virgin Islands,2019,1310.05,17.7,22.4,13.8
British Virgin Islands,2020,1099.03,27.5,6.1,28.7
British Virgin Islands,2021,1067.92,24.6,12.1,24.6
British Virgin Islands,2022,1354.64,22.2,17.1,16.8
British Virgin Islands,2023,1416.05,19.7,23.5,13.9
British Virgin Islands,2024,1277.07,18.7,23.8,14.7
British Virgin Islands,2025,1377.7,17.7,21.4,14.0
Cayman Islands,2015,5340.73,17.6,25.4,14.2
Cayman Islands,2016,5371.91,16.1,25.7,12.6
Cayman Islands,2017,5853.3,18.0,27.0,13.1
Cayman Islands,2018,5777.83,17.7,28.3,12.3
Cayman Islands,2019,5931.31,16.0,25.8,12.4
Cayman Islands,2020,5104.29,24.9,7.0,28.2
Cayman Islands,2021,6098.98,19.9,15.2,24.9
Cayman Islands,2022,5998.68,18.8,21.2,16.6
Cayman Islands,2023,6930.01,18.6,28.6,13.8
Cayman Islands,2024,6766.88,16.6,25.5,12.7
Cayman Islands,2025,7605.53,17.7,25.6,12.9
Cuba,2015,101649.23,8.8,49.1,6.8
Cuba,2016,105734.29,8.2,53.7,6.8
Cuba,2017,110260.84,8.5,48.4,7.3
Cuba,2018,113287.81,7.5,53.4,7.1
Cuba,2019,111146.84,8.0,48.0,6.5
Cuba,2020,70225.96,10.5,12.8,13.7
Cuba,2021,87610.75,9.4,30.5,12.1
Cuba,2022,107007.98,9.5,43.5,8.1
Cuba,2023,137513.23,7.9,50.9,6.6
Cuba,2024,122091.7,7.3,52.8,6.5
Cuba,2025,140611.82,7.9,55.0,6.5
Curacao,2015,2984.21,17.4,25.4,14.7
Curacao,2016,3107.17,19.5,26.1,14.2
Curacao,2017,3211.72,19.0,23.9,13.2
Curacao,2018,3347.63,19.7,24.4,13.8
Curacao,2019,3624.71,17.7,26.4,13.4
Curacao,2020,2776.14,25.9,6.7,27.0
Curacao,2021,3119.41,21.2,13.6,23.5
Curacao,2022,3611.67,19.8,18.6,17.4
Curacao,2023,4095.74,18.2,23.0,12.8
Curacao,2024,4288.48,18.4,23.2,13.6
Curacao,2025,4021.4,17.0,24.9,13.9
Dominica,2015,567.18,19.8,22.2,13.6
Dominica,2016,573.67,20.9,23.1,14.3
Dominica,2017,549.93,18.9,21.5,14.3
Dominica,2018,565.74,17.4,23.7,14.1
Dominica,2019,603.49,18.3,23.5,13.7
Dominica,2020,510.13,26.6,5.3,28.9
Dominica,2021,576.78,23.1,12.2,25.1
Dominica,2022,578.28,18.9,17.1,18.5
Dominica,2023,693.33,18.7,23.6,15.4
Dominica,2024,675.49,18.9,22.0,15.1
Dominica,2025,674.38,19.2,23.6,14.9
Dominican Republic,2015,81022.72,5.5,59.1,4.9
Dominican Republic,2016,85748.04,5.1,62.5,5.2
Dominican Republic,2017,89355.95,5.2,56.4,4.8
Dominican Republic,2018,91599.24,5.1,60.4,5.3
Dominican Republic,2019,94244.76,5.3,63.4,5.1
Dominican Republic,2020,50066.86,6.5,16.2,9.3
Dominican Republic,2021,71888.87,6.3,33.0,9.5
Dominican Republic,2022,91306.76,5.8,51.3,6.2
Dominican Republic,2023,112075.17,5.1,61.4,4.8
Dominican Republic,2024,111356.19,5.3,58.9,5.0
Dominican Republic,2025,106021.19,4.9,56.2,4.8
Grenada,2015,1145.89,18.7,22.3,13.6
Grenada,2016,1206.36,17.6,24.1,15.3
Grenada,2017,1292.32,19.1,24.7,15.3
Grenada,2018,1240.82,19.6,24.7,13.4
Grenada,2019,1402.62,19.4,21.4,14.1
Grenada,2020,1177.93,26.1,5.5,26.5
Grenada,2021,1169.4,23.8,11.8,27.1
Grenada,2022,1348.2,22.5,19.9,19.0
Grenada,2023,1504.52,19.5,24.1,14.4
Grenada,2024,1604.08,19.9,23.0,13.4
Grenada,2025,1536.69,20.5,24.1,14.3
Guadeloupe,2015,10255.29,19.3,26.0,14.2
Guadeloupe,2016,10641.05,19.3,27.6,13.1
Guadeloupe,2017,10510.37,17.6,27.6,13.2
Guadeloupe,2018,11146.29,18.0,25.8,13.5
Guadeloupe,2019,10393.38,16.6,27.3,13.0
Guadeloupe,2020,8692.45,24.3,6.1,28.5
Guadeloupe,2021,10439.74,19.9,14.5,22.9
Guadeloupe,2022,10958.21,18.2,22.1,17.4
Guadeloupe,2023,12652.11,18.1,25.7,14.4
Guadeloupe,2024,12096.96,17.4,27.8,13.9
Guadeloupe,2025,13642.85,16.1,24.1,13.2
Haiti,2015,14150.04,19.6,25.1,13.8
Haiti,2016,14213.76,20.0,24.6,13.3
Haiti,2017,15845.07,19.2,24.2,13.6
Haiti,2018,15081.4,20.1,24.3,14.8
Haiti,2019,16655.88,17.3,24.5,14.9
Haiti,2020,14466.74,24.3,6.1,27.5
Haiti,2021,14522.27,23.2,12.2,25.3
Haiti,2022,15629.09,18.4,19.4,16.4
Haiti,2023,17975.54,18.0,25.0,14.7
Haiti,2024,18248.75,17.1,24.0,14.2
Haiti,2025,19141.75,18.6,24.1,14.0
Jamaica,2015,16089.52,9.5,44.2,8.5
Jamaica,2016,16524.68,10.1,46.6,8.4
Jamaica,2017,15785.75,9.8,43.9,8.9
Jamaica,2018,17411.18,10.7,45.0,8.8
Jamaica,2019,18034.11,11.3,48.8,8.8
Jamaica,2020,10954.08,14.7,12.2,16.6
Jamaica,2021,14519.4,11.9,25.5,14.4
Jamaica,2022,17250.59,10.2,34.8,11.3
Jamaica,2023,18300.96,9.5,43.2,8.0
Jamaica,2024,18278.58,9.6,44.5,7.9
Jamaica,2025,20159.0,9.3,47.9,8.5
Martinique,2015,9735.15,18.7,24.4,13.0
Martinique,2016,10040.02,18.2,26.2,14.5
Martinique,2017,10529.26,17.6,26.2,12.6
Martinique,2018,9883.61,17.8,28.1,14.1
Martinique,2019,11031.75,19.2,26.5,14.5
Martinique,2020,8932.58,24.6,6.8,25.9
Martinique,2021,10268.73,22.3,14.2,26.2
Martinique,2022,10545.75,21.1,19.4,16.4
Martinique,2023,11204.19,18.3,24.4,13.8
Martinique,2024,12668.69,16.2,26.8,13.4
Martinique,2025,12324.59,17.3,26.8,13.2
Montserrat,2015,62.26,20.4,19.3,15.6
Montserrat,2016,68.82,20.9,19.8,14.4
Montserrat,2017,70.11,18.2,20.9,14.2
Montserrat,2018,67.23,19.6,19.3,15.0
Montserrat,2019,72.12,18.3,20.9,15.0
Montserrat,2020,60.06,26.4,5.1,31.3
Montserrat,2021,73.26,24.4,11.3,26.9
Montserrat,2022,73.52,20.6,15.3,19.4
Montserrat,2023,78.03,19.2,21.6,14.4
Montserrat,2024,87.76,20.8,20.2,14.4
Montserrat,2025,83.14,20.9,19.2,13.9
Puerto Rico,2015,103630.06,10.1,50.9,8.4
Puerto Rico,2016,105456.5,9.3,49.5,7.4
Puerto Rico,2017,109024.92,9.7,45.9,7.4
Puerto Rico,2018,117704.64,8.8,45.6,7.6
Puerto Rico,2019,121238.58,10.1,47.5,8.5
Puerto Rico,2020,78378.62,12.8,12.5,16.3
Puerto Rico,2021,92245.42,10.9,27.3,13.6
Puerto Rico,2022,118504.77,10.5,41.2,10.1
Puerto Rico,2023,129028.51,8.7,50.0,8.6
Puerto Rico,2024,123868.16,9.5,47.2,8.3
Puerto Rico,2025,141360.34,10.2,45.5,8.1
Saba,2015,49.72,21.0,18.8,15.6
Saba,2016,53.99,19.5,19.6,14.1
Saba,2017,51.35,20.8,21.8,13.8
Saba,2018,53.11,20.9,20.3,14.2
Saba,2019,55.87,19.4,21.2,13.8
Saba,2020,51.25,28.0,5,28.7
Saba,2021,52.64,22.5,11.3,28.2
Saba,2022,60.25,21.2,17.0,20.0
Saba,2023,59.4,19.6,19.8,14.6
Saba,2024,63.82,18.4,19.4,15.8
Saba,2025,63.83,18.5,21.1,14.8
Saint Barthelemy,2015,424.82,20.0,24.1,14.8
Saint Barthelemy,2016,447.3,17.5,22.2,15.0
Saint Barthelemy,2017,438.08,18.3,22.9,15.0
Saint Barthelemy,2018,436.06,20.5,22.6,14.1
Saint Barthelemy,2019,439.68,19.0,23.2,14.8
Saint Barthelemy,2020,399.91,26.8,5.5,27.6
Saint Barthelemy,2021,417.61,24.0,11.4,26.6
Saint Barthelemy,2022,488.31,21.9,17.9,17.0
Saint Barthelemy,2023,514.82,20.4,23.8,13.3
Saint Barthelemy,2024,580.81,20.2,23.3,14.4
Saint Barthelemy,2025,558.23,19.0,21.6,15.3
Saint Kitts and Nevis,2015,984.53,17.7,21.9,15.2
Saint Kitts and Nevis,2016,1014.34,18.7,24.0,13.6
Saint Kitts and Nevis,2017,1046.72,17.3,23.2,13.7
Saint Kitts and Nevis,2018,1108.06,17.1,23.5,14.9
Saint Kitts and Nevis,2019,1163.43,18.0,23.1,13.5
Saint Kitts and Nevis,2020,949.97,26.9,6.0,29.7
Saint Kitts and Nevis,2021,1099.07,22.9,12.7,26.1
Saint Kitts and Nevis,2022,1151.6,21.6,17.0,19.3
Saint Kitts and Nevis,2023,1219.85,17.6,22.7,13.8
Saint Kitts and Nevis,2024,1215.19,18.5,21.1,13.4
Saint Kitts and Nevis,2025,1359.0,19.9,22.4,13.7
Saint Lucia,2015,1872.82,18.9,26.6,13.7
Saint Lucia,2016,1793.13,18.0,24.4,14.5
Saint Lucia,2017,1973.94,17.8,25.6,14.2
Saint Lucia,2018,2023.3,19.5,26.1,13.5
Saint Lucia,2019,1966.34,19.3,24.6,12.7
Saint Lucia,2020,1629.11,23.1,6.9,24.9
Saint Lucia,2021,1890.24,21.5,13.4,26.2
Saint Lucia,2022,2093.79,20.2,21.0,17.7
Saint Lucia,2023,2201.15,16.0,24.3,13.1
Saint Lucia,2024,2311.38,17.0,27.7,12.9
Saint Lucia,2025,2460.19,18.3,26.6,12.6
Saint Martin,2015,763.79,18.1,24.5,14.3
Saint Martin,2016,841.44,17.1,24.0,14.6
Saint Martin,2017,879.09,19.3,22.9,13.1
Saint Martin,2018,842.35,19.4,24.4,13.1
Saint Martin,2019,915.7,19.8,26.6,14.0
Saint Martin,2020,713.12,22.6,6.4,27.3
Saint Martin,2021,893.75,21.9,12.8,23.1
Saint Martin,2022,974.6,19.2,18.5,16.1
Saint Martin,2023,1086.68,17.2,23.9,14.5
Saint Martin,2024,981.18,18.6,26.5,14.0
Saint Martin,2025,1080.28,18.3,22.9,14.4
Saint Vincent and the Grenadines,2015,844.04,19.3,21.7,13.6
Saint Vincent and the Grenadines,2016,881.99,19.6,21.2,14.7
Saint Vincent and the Grenadines,2017,913.23,19.2,22.6,14.4
Saint Vincent and the Grenadines,2018,897.77,19.2,23.1,14.7
Saint Vincent and the Grenadines,2019,929.65,17.3,23.5,14.2
Saint Vincent and the Grenadines,2020,831.23,26.6,6.0,26.6
Saint Vincent and the Grenadines,2021,876.57,25.5,11.6,27.8
Saint Vincent and the Grenadines,2022,998.11,22.5,18.3,18.2
Saint Vincent and the Grenadines,2023,1064.6,17.2,24.1,14.5
Saint Vincent and the Grenadines,2024,1048.43,20.6,21.9,13.6
Saint Vincent and the Grenadines,2025,1028.35,18.5,21.7,15.4
Sint Eustatius,2015,109.53,20.7,21.0,14.0
Sint Eustatius,2016,114.01,21.0,19.1,15.3
Sint Eustatius,2017,118.68,19.0,20.8,15.1
Sint Eustatius,2018,122.01,18.6,19.2,16.0
Sint Eustatius,2019,122.81,19.6,21.4,15.8
Sint Eustatius,2020,108.38,28.6,5,28.0
Sint Eustatius,2021,119.89,23.3,11.2,28.5
Sint Eustatius,2022,128.49,20.2,17.2,17.6
Sint Eustatius,2023,140.57,21.2,21.1,13.8
Sint Eustatius,2024,138.04,19.4,21.8,15.8
Sint Eustatius,2025,147.38,19.7,19.5,14.0
Sint Maarten,2015,1495.5,16.6,24.6,13.6
Sint Maarten,2016,1573.89,18.8,23.9,12.6
Sint Maarten,2017,1662.07,18.9,24.7,13.9
Sint Maarten,2018,1611.58,16.5,25.7,13.3
Sint Maarten,2019,1805.55,18.8,25.5,13.5
Sint Maarten,2020,1315.53,24.7,6.7,28.9
Sint Maarten,2021,1509.12,23.8,14.6,25.9
Sint Maarten,2022,1727.2,20.8,19.4,16.0
Sint Maarten,2023,1826.29,18.6,24.9,14.2
Sint Maarten,2024,1895.71,18.0,24.8,12.5
Sint Maarten,2025,1808.55,17.1,24.0,14.5
Suriname,2015,3876.25,20.6,21.7,14.2
Suriname,2016,3959.99,18.1,22.4,14.9
Suriname,2017,4000.22,18.7,23.6,14.4
Suriname,2018,4188.14,17.4,22.3,15.2
Suriname,2019,4299.31,19.7,24.9,14.9
Suriname,2020,3484.56,25.7,6.1,29.8
Suriname,2021,3999.89,24.1,11.9,24.8
Suriname,2022,4092.46,20.9,18.9,17.0
Suriname,2023,4505.03,18.0,24.9,14.8
Suriname,2024,4951.24,18.9,24.6,13.6
Suriname,2025,5040.18,18.9,22.9,13.7
Trinidad and Tobago,2015,20985.62,16.8,26.6,13.1
Trinidad and Tobago,2016,24011.15,18.3,29.9,13.0
Trinidad and Tobago,2017,24454.06,16.4,26.8,13.9
Trinidad and Tobago,2018,24691.45,18.2,27.6,12.2
Trinidad and Tobago,2019,23447.66,16.8,27.8,12.5
Trinidad and Tobago,2020,18936.44,23.9,6.8,25.4
Trinidad and Tobago,2021,21791.44,19.5,16.2,24.0
Trinidad and Tobago,2022,24827.16,19.7,21.0,16.2
Trinidad and Tobago,2023,28628.78,17.6,28.4,13.8
Trinidad and Tobago,2024,25256.81,15.6,29.2,13.9
Trinidad and Tobago,2025,28120.97,15.4,27.2,12.6
Turks and Caicos Islands,2015,1018.2,16.6,25.6,13.1
Turks and Caicos Islands,2016,1042.63,17.7,23.7,14.5
Turks and Caicos Islands,2017,1098.69,16.7,23.5,12.7
Turks and Caicos Islands,2018,1026.12,18.0,24.1,14.4
Turks and Caicos Islands,2019,1167.12,16.6,23.4,13.6
Turks and Caicos Islands,2020,1001.82,22.9,5.8,26.3
Turks and Caicos Islands,2021,1037.75,24.0,14.7,25.7
Turks and Caicos Islands,2022,1146.55,20.6,20.2,16.0
Turks and Caicos Islands,2023,1260.14,18.2,25.9,14.2
Turks and Caicos Islands,2024,1327.18,18.4,26.5,14.3
Turks and Caicos Islands,2025,1300.34,16.5,23.7,14.3
US Virgin Islands,2015,3661.24,16.6,30.1,13.2
US Virgin Islands,2016,4110.87,15.3,28.9,13.2
US Virgin Islands,2017,3943.68,18.5,29.7,12.8
US Virgin Islands,2018,4281.42,17.9,26.1,13.1
US Virgin Islands,2019,4529.41,18.6,30.2,12.7
US Virgin Islands,2020,3671.27,25.5,6.8,27.1
US Virgin Islands,2021,3818.26,21.1,14.5,23.1
US Virgin Islands,2022,3995.0,20.4,22.6,16.4
US Virgin Islands,2023,4813.08,16.8,29.9,13.7
US Virgin Islands,2024,4605.16,17.7,27.9,12.1
US Virgin Islands,2025,5022.3,16.9,27.0,13.4
